p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.3012775956442516e-148	0.8295934821830186	0.539	0.063	8.952797603524012e-144	8	Cap1
2.1821789038594072e-147	1.6708871768461213	0.281	0.017	3.685263732837767e-143	8	Trf
4.801271790670162e-147	0.9340850937085086	0.253	0.014	8.10838780008377e-143	8	Man1b1
1.004356021889284e-146	1.316308576063072	0.525	0.06	1.6961564497666225e-142	8	Pde4b
2.4520396853942223e-146	2.0028664833906307	0.793	0.139	4.141004620693763e-142	8	Ctsd
4.53132438540317e-146	1.7079694896809068	0.442	0.044	7.652500622068874e-142	8	Fnip2
7.271535403462989e-146	1.0913016684986396	0.604	0.078	1.2280168989368296e-141	8	Dazap2
1.365671567180981e-145	3.779666241092519	1	0.545	2.3063461426552407e-141	8	Fth1
1.8797946650382282e-145	1.1014924763165996	0.424	0.041	3.1745972303165595e-141	8	Sntb2
2.831053727060771e-145	1.0501205331203014	0.47	0.05	4.78108353426023e-141	8	Sbno1
5.671094668742849e-145	1.3772584657246343	0.71	0.107	9.577344676572923e-141	8	Sdcbp
5.581507663143713e-144	1.2794433595016463	0.263	0.015	9.426050141517103e-140	8	Rtp4
3.3936259534167883e-143	0.6405900157795414	0.341	0.027	5.731155510130272e-139	8	Hexim1
4.499514807999215e-143	0.6107854167353914	0.364	0.03	7.598780607749075e-139	8	Cdk17
1.9464575396669945e-142	0.7858524583007849	0.567	0.071	3.28717749298962e-138	8	Serinc3
6.488855116819278e-141	1.1772828657209784	0.59	0.078	1.0958378521284397e-136	8	Fus
1.1512628586921324e-140	0.9514563947188834	0.512	0.06	1.9442527157592733e-136	8	Rnf11
2.1165646297501316e-140	0.7974659079537201	0.323	0.024	3.5744543467220224e-136	8	Cux1
3.4035252635908893e-140	1.1396913780857196	0.406	0.039	5.747873465152294e-136	8	Sde2
8.586942688157602e-140	1.3466733315080637	0.613	0.084	1.4501628811760558e-135	8	Ppp1r15a
1.3265872784792562e-139	0.9454359052982262	0.401	0.038	2.2403405958957678e-135	8	Sik3
