gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Supt5	0.6973402939740885	0.5534403161066332	0.7466654080953948	0.8049333802796965	0.3840563207360262	0.61883078123120006	0.7239738314026805	0.8926758942858426	0.39025715513613185	0.7459024845680121	0.7843797952893365	0.7307591409372969	1.6290929392916713	0.8742734007591809	0.5056194960005863
Rps16	3.478138600220139	3.5408526753253944	3.215379153130675	3.1756756541737112	3.3755142492307524	3.64261510529585	3.5114956585295745	3.312673551721782	2.070028218253056	2.9530996233583044	2.835776200399753	2.995172428568979	3.1633307774206387	3.4784953533616063	3.034499634769186
Plekhg2	0.10859656547641196	0.07491549399399057	0.1048867907102821	0.24993411488742015	0	0.15307726932913449	0.07508042034711963	0.5649735459283768	0.0579089261963731	0.6768706551907296	0.24634144732616803	0.3764617157021582	0	0.061455717512946595	0.4595292592238732
Zfp36	1.8832635726968503	1.7382526751093534	1.8473109684664397	2.0484402044318353	1.3954884439602893	1.5863812651525517	1.959443646643326	1.5131874804436958	2.2857493520461007	1.9131280626944551	2.051913745207696	2.4171687399434836	2.0764227761697116	1.9977072618920295	2.085913098690434
Med29	0.15647487260579482	0.1518572272626764	0.174413567035573	0.3068701584800275	0.0854636655073953	0.09422984776232111	0.1816128693056631	0.09806001367774039	0.010608411948171482	0.3255970656528466	0.13213328846238448	0.3781199294269316	0.6345698235943731	0	0.11008332133511585
Paf1	0.2952514069722864	0.15746149468467047	0.25453156769435004	0.6834931789441979	0.23069578309676714	0	0.13657723756758225	0.37532696504285373	0.07090885441573498	0.49643420927850257	0.24372576820106454	0.8147384482155245	0.6269216807494105	0.4129589485520116	0.5240192861567606
Samd4b	0.6558717956667212	0.6812125351495742	1.05713953610798	0.7867923647684626	0.7915145654489708	0.38331617031339793	0.768771389267987	0.5734129489874327	0.48032504851854874	0.516950848073261	1.287415826782971	0.9113336636318297	0.9875606116590566	0.7437019155825847	1.0287745491637434
Gmfg	0.05134521428240274	0.06119891090639994	0.13586884027095447	0.6641438005187931	0.15393052096250018	0.13508865670755432	0.028741244218010633	0.008832915469199079	1.4322916375134351	0	0.01127454305796438	0.8523235665198348	0	0.31198813036758755	0
Lrfn1	0	0	0.005187271720690181	0	0	0	0	0	0	0	0.00446506654456688	0	0	0	0
Nccrp1	0	0.016596514041730775	0	0.01787974476088179	0	0	0.0024349515057303004	0	0.011109682381880972	0	0	0.027854377456283642	0	0	0
Pak4	0.21902543774649974	0.1605402481458848	0.04642508249746284	0.168965068094335	0.10470023900222061	0.3609958913078581	0.1412507089313112	0.4528359031795036	0.025432000478949002	0.17364731080176007	0.0928774251527515	0.08505743039241322	0	0.030121398342741974	0
Fbxo27	0	0	0.001057786996882465	0	0	0	0.003210094257034854	0	0.014307091585011889	0.005657243611757706	0	0	0	0	0
Fbxo17	0.013227461137423745	0	0.06348649138875909	0.04736182031981822	0	0	0.004311241577831759	0.00665065407289295	0	0	0.06511960353931213	0	0	0	0
Mrps12	0.36191926727756196	0.23867052371421987	0.40859371308440695	0.4280084023023264	0.2615348889476554	0.22187158091208517	0.5015701851940867	0.6960262308831496	0.25336095648010576	0.8688781977329396	0.1407115181752171	0.1725674234095365	0	0.42225183464791005	0
Sars2	0.020372145174199704	0.07377295608254228	0.024230973332044645	0.04405222477590305	0.09843780993427889	0.13885354704282743	0.012602561251974053	0.08562558340692475	0.013670453871055642	0	0.03511313948894266	0.02819601935203117	0	0.011224533195161614	0
Nfkbib	0.36220346538798776	0.40829552691255055	0.286015663723594	0.7334235057293363	0.23901250070345229	0.3731891396242801	0.42118489440521906	0.2865442635834618	0.6988814281061098	0.00656471864564867	0.350972383749915	0.9731442728282244	0	0.1553125477106717	0.11008332133511585
Sirt2	0.24757665335298432	0.22824801508335296	0.3923891107148806	0.5984975725486813	0.028450287916373693	0.5135246620830776	0.34768805228820243	0.3231942334801481	0.24682620786972276	0.6297914424912242	0.2896643893816461	0.6072616362195348	0.5157265383579627	0.5460202417898187	0.39862797555942264
Rinl	0	0	0.05684091162052849	0.14691270039238302	0	0.10056496392529914	0	0	0.17937753351194113	0	0.023098455336980524	0.05419784938645466	0	0.3186007092726372	0
Hnrnpl	0.740591454552185	0.5803561497443084	0.5442195293643366	0.8560619554043856	0.4074090241576856	0.7678891417409671	0.9244989853486052	1.1048042859558225	0.30629216137517445	0.8812210225511411	0.751869654455207	0.8775162981716582	0	1.3746152774830085	0.7722681688607269
Ech1	0.2898189688917839	0.3038474991779374	0.22750642684792363	0.15182040874178737	0.32733990404769225	0.4341193930868065	0.24679965182686495	0.43349350589441166	0.022926961314714417	0.4330694909029272	0.25066759237435643	0.10625670995062461	0.5869346039282128	0.7231269245510449	1.11475869572405
Lgals4	0.03388902110016646	0.02815593837089532	0.06820252630203136	0.06040874171791724	0.09981550678669769	0	0	0	0.01851057801207069	0.044574571407606844	0.09310295675473314	0	0	0.030121398342741974	0
Lgals7	4.319806253842116	4.363847731476028	2.374263039579587	2.353423558853001	4.123464823434878	4.292225082495645	4.3531146441126385	2.270783342521988	2.2934939503821306	3.031904174461184	0.9433227402090454	0.9392226416915012	4.091434064377316	2.327022214098666	3.3253136107954857
Capn12	0.053394417745072316	0.013612319520071603	0	0	0	0.14561828544713518	0.0010624487039895324	0.01324399295113748	0	0	0.009136338400740194	0	0	0	0
Actn4	1.4481982322380165	1.4033206415049577	0.9882661440005293	1.5130028432745941	1.3163254193850016	1.378223199544653	1.3340358616356167	1.8128456172287326	0.5136636682200029	1.6247725879490547	1.0483070219206905	1.4374256497371956	1.230279548991656	0.8024534133391833	1.6741920783989594
Eif3k	1.2367401256578374	1.4448524165792773	1.1679153830910365	1.188774296482567	1.207429586594744	1.2236595956485792	1.4116551677122224	1.198562349150984	0.7681513755547985	1.5634647408085827	0.9317569349684227	1.0736420968514826	0.9648258836492247	0.6834508709982997	1.1478191478518385
Map4k1	0.02614570330117065	0.0036904496252399845	0	0.10216260231430162	0	0	0	0	0	0	0	0.0714445416295087	0	0.05108362880338797	0.4628851103141542
Ryr1	0.033675321451105925	0	0.04608792946214197	0.14483070095896483	0	0	0.018971389333489155	0	0	0	0.006551532049839016	0.10327141194151976	0	0	0
Rasgrp4	0.025895633821926646	0.021826858764539245	0	0.17309941755628858	0	0	0	0	0.30262027241381095	0.535254760671448	0	0.1629132319527921	0	0.03982210418100169	0
Fam98c	0.13290718444923033	0.12263168718639392	0.18801855297905112	0.33432174905245693	0.017819526140599774	0	0.11964826013333052	0.1837170770566433	0.025778872745273233	0.012104340679272683	0.10533298278180227	0.08018996894185061	0.6027463528053245	0	0
